"date","image","x1","x2","label","tags","지점","평균기온..C.","최저기온..C.","최고기온..C.","cluster"
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40476/280.street_img_view15a69aa69668db.jpg?",0.242358138763582,-0.128355745638781,0,"['패딩', '네이비', '아우터', '파랑색', '스트리트', '힙합']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40439/280.street_img_view25a69943353daf.jpg?",0.206488399946293,-0.0823010257667196,0,"['후디', '블랙', '상의', '검정색', '스트리트', '힙합']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view25a699f4e69952.jpg?",-0.774943715054251,0.00408546794050058,1,"['스커트', '체크', '하의', '체크', '걸리시']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view15a699d71a71be.jpg?",0.261848168952627,-0.0389813943033668,0,"['항공점퍼', '카키', '아우터', '녹색', '스트리트', '힙합']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40439/280.street_img_view15a69941d0a076.jpg?",0.117900518227142,-0.0464803094367616,0,"['코트', '블랙', '아우터', '검정색', '스트리트', '힙합']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40445/280.street_img_view15a699f4201aaa.jpg?",-0.792731918753961,-0.0241830084534071,1,"['코트', '레드', '아우터', '빨간색', '걸리시']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40448/280.street_img_view25a699d808a91d.jpg?",-0.768878293164003,0.0293847431249377,1,"['데님스커트', '하의', '데님', '스트리트', '힙합']",108,2.1,0.3,4.5,3
"2018-01-18","//image.musinsa.com/mfile_s01/_street_images/40433/280.street_img_view15a6880f5119ea.jpg?",0.191954970574453,0.0274633316784866,0,"['퍼자켓', '레오파드', '아우터', '애니멀', '유니크', '키치']",108,2.1,0.3,4.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40499/280.street_img_view15a6addca06de8.jpg?",0.106429178714599,-0.188312979009979,0,"['롱슬리브', '티셔츠', '상의', '검정색', '스트리트', '힙합']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40472/280.street_img_view15a71921235f49.jpg?20180131185446",-0.752495794519543,0.134308473688277,1,"['코트', '디자이너 인비테이션', '아우터', '파랑색', '걸리시']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40469/280.street_img_view15a619d011fcef.jpg?20180119192058",0.14020862440369,0.202780391015915,0,"['코트', '디자이너 인비테이션', '아우터', '파랑색', '심플', '캐주얼']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40473/280.street_img_view15a61c755cd4e0.jpg?20180119192428",0.194728564574192,0.124430683588896,0,"['코트', '디자이너 인비테이션', '그레이', '아우터', '회색', '걸리시']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40465/280.street_img_view15a61aabb040c9.jpg?20180122091857",-0.755099288217022,0.11256669398842,1,"['코트', '디자이너 인비테이션', '아우터', '파랑색', '걸리시']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40474/280.street_img_view15a61990b8d1e5.jpg?20180119191903",0.107933404302918,0.228816428973925,0,"['코트', '디자이너 인비테이션', '아우터', '검정색', '심플', '캐주얼']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40475/280.street_img_view15a6197e2d81d5.jpg?20180122091500",1.04019530559935,0.133880644282031,3,"['코트', '디자이너 인비테이션', '더블코트', '아우터', '파랑색', '섹시', '페미닌']",108,1,-2.5,5.5,3
"2018-01-19","//image.musinsa.com/mfile_s01/_street_images/40477/280.street_img_view15a69eab167fc8.jpg?",0.060627032945917,0.199943247736489,0,"['코트', '블랙', '아우터', '검정색', '심플', '캐주얼']",108,1,-2.5,5.5,3
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40519/280.street_img_view15a6ad94429632.jpg?20180126175801",-0.741847959879561,0.298007860876737,1,"['무스탕', '아우터', '검정색', '심플', '캐주얼']",108,0.4,-3.7,5.5,3
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40519/280.street_img_view25a6ad9568463f.jpg?20180126175801",-0.89538500748532,0.00882901141935812,1,"['와이드팬츠', '하의', '회색', '심플', '캐주얼']",108,0.4,-3.7,5.5,3
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40512/280.street_img_view25a6adb6844a37.jpg?20180126172923",-0.800676412059225,-0.156593050870453,1,"['조거팬츠', '하의', '검정색', '스트리트', '힙합']",108,0.4,-3.7,5.5,3
"2018-01-21","//image.musinsa.com/mfile_s01/_street_images/40512/280.street_img_view15a6adb528a174.jpg?20180126172923",-0.893444774043512,-0.0227787792173218,1,"['라이더자켓', '아우터', '검정색', '스트리트', '힙합']",108,0.4,-3.7,5.5,3
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40533/280.street_img_view25a6acef82ed4a.jpg?",-1.73287687080672,-0.0154608386889953,4,"['미디스커트', '하의', '체크', '걸리시']",108,0.2,-5.3,4,3
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40533/280.street_img_view15a6aceb2d6429.jpg?",-1.75256198427032,0.0932096573705553,4,"['싱글코트', '아우터', '검정색', '걸리시']",108,0.2,-5.3,4,3
"2018-01-22","//image.musinsa.com/mfile_s01/_street_images/40547/280.street_img_view15a6ac9a35eb70.jpg?20180130143944",-0.780962431887044,-0.0171327683958403,1,"['트랙자켓', '아우터', '빨간색', '스트리트', '힙합']",108,0.2,-5.3,4,3
