date,image,tags,temperature,cluster
2018-05-14,//image.musinsa.com/mfile_s01/_street_images/44170/280.street_img_view25b06227b7bdd5.jpg?,"['데님', '스커트', 'skirt', '하의', '데님', '심플', '캐주얼']",18.2,6
2018-05-14,//image.musinsa.com/mfile_s01/_street_images/44175/280.street_img_view25afc03ef54cf8.jpg?,"['트랙팬츠', '하의', '검정색', '체크', '스트리트', '힙합']",18.2,6
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44244/280.street_img_view25afaa94ef12ef.jpg?,"['팬츠', '퍼플', '하의', '보라색', '걸리시']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44242/280.street_img_view15afaa9ce7fe47.jpg?,"['스커트', '그린', '하의', '녹색', '심플', '캐주얼']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44239/280.street_img_view25afaaaf71a02d.jpg?,"['스커트', '데님', '하의', '데님', '심플', '캐주얼']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44238/280.street_img_view25afaab56bfa42.jpg?,"['슬랙스', '그레이', '하의', '회색', '심플', '캐주얼']",23.2,1
2018-05-15,//image.musinsa.com/mfile_s01/_street_images/44251/280.street_img_view25afaa352bef78.jpg?,"['슬랙스', '블루', '하의', '파랑색', '스트리트', '힙합']",23.2,1
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/44343/280.street_img_view15b024f5e20979.jpg?,"['데님스커트', '블루', '하의', '데님', '걸리시']",16.3,8
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/44338/280.street_img_view25b025e502f055.jpg?,"['와이드팬츠', '오렌지', '하의', '주황색', '스트리트', '힙합']",16.3,8
2018-05-18,//image.musinsa.com/mfile_s01/_street_images/44341/280.street_img_view25b0250fe8606c.jpg?,"['청바지', '블루', '하의', '데님', '스트리트', '힙합']",16.3,8
2018-05-21,//image.musinsa.com/mfile_s01/_street_images/44368/280.street_img_view25b0233829c804.jpg?,"['데님팬츠', '블루', '하의', '데님', '심플', '캐주얼']",17.8,8
2018-05-21,//image.musinsa.com/mfile_s01/_street_images/44378/280.street_img_view25b025ecbe935e.jpg?,"['카고팬츠', '카모', '하의', '카모', '스트리트', '힙합']",17.8,8
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/44437/280.street_img_view15b04eeb0238dc.jpg?,"['하이웨스트', '블랙', '하의', '검정색', '섹시', '페미닌']",18.1,6
2018-05-22,//image.musinsa.com/mfile_s01/_street_images/44438/280.street_img_view15b04ee680e5bc.jpg?,"['트랙팬츠', '레드', '하의', '검정색', '빨간색', '스트리트', '힙합']",18.1,6
